Dataset,Backbone,Horizon,DirectMSE_final,FinalMSE_final,MSEGain_pct,DirectMAE_final,FinalMAE_final,MSEMetricSource,MAEMetricSource
Electricity,TimeMixer,96,0.1568328585310262,0.1562692102331507,0.3593942641579941,0.2478995504474172,0.2478840053460131,Experiment37Selected,Experiment37Selected
Electricity,TimeMixer,192,0.1703962488794926,0.1696083798234445,0.4623746480506918,0.2605183201069985,0.260731170837892,Experiment37Selected,Experiment37Selected
Electricity,TimeMixer,336,0.1862308107587,0.1846387295873135,0.854896762195491,0.2764935298804709,0.2767959102086647,Experiment37Selected,Experiment37Selected
Electricity,TimeMixer,720,0.2267836151546896,0.2261249211803285,0.2904504251384102,0.310885006557952,0.311662019798137,Experiment37Selected,Experiment37Selected
Electricity,iTransformer,96,0.1500666534480919,0.1478657716284867,1.4666028521562668,0.2416821870295359,0.2413521770969945,Experiment37Selected,Experiment37Selected
Electricity,iTransformer,192,0.1632234152212496,0.1616524140713656,0.962485160449841,0.2538381294998024,0.2539375428011695,Experiment37Selected,Experiment37Selected
Electricity,iTransformer,336,0.1771945214589089,0.1754031775348248,1.010947691460949,0.2691265831043549,0.2697051713736265,Experiment37Selected,Experiment37Selected
Electricity,iTransformer,720,0.2167702880849344,0.2165753595491553,0.0899240101128388,0.3035190807747585,0.3048584723499239,Experiment37Selected,Experiment37Selected
Exchange,PatchTST,96,0.0887915574492728,0.0887915574492728,0.0,0.2088177169481466,0.2088177169481466,Experiment37Selected,Experiment37Selected
Exchange,PatchTST,192,0.1949368863923277,0.1949368863923277,0.0,0.3161826899688168,0.3161826899688168,Experiment37Selected,Experiment37Selected
Exchange,PatchTST,336,0.3462905648655438,0.3462905648655438,0.0,0.4288734468001035,0.4288734468001035,Experiment37Selected,Experiment37Selected
Exchange,PatchTST,720,0.8583899663438109,0.8583899663438109,0.0,0.6929867376095403,0.6929867376095403,Experiment37Selected,Experiment37Selected
Exchange,SegMoE,96,0.0870032819827006,0.0870032819827006,0.0,0.2075456483885174,0.2075456483885174,Experiment37Selected,Experiment37Selected
Exchange,SegMoE,192,0.1831860621350999,0.1831860621350999,0.0,0.3071525825743877,0.3071525825743877,Experiment37Selected,Experiment37Selected
Exchange,SegMoE,336,0.3310333655488302,0.3310333655488302,0.0,0.4201781689744014,0.4201781689744014,Experiment37Selected,Experiment37Selected
Exchange,SegMoE,720,0.8083992845739248,0.8083992845739248,0.0,0.6801962909637481,0.6801962909637481,Experiment37Selected,Experiment37Selected
