Dataset,Backbone,Horizon,MSEGain_pct,DirectMSE,FinalMSE,DirectMAE,FinalMAE,MSESource,MAESource,DirectMSE_recovered,FinalMSE_recovered,DirectMAE_recovered,FinalMAE_recovered,RecoverySource,RecoveredGain_pct,GainMismatch,DirectMSE_final,FinalMSE_final,DirectMAE_final,FinalMAE_final,MSEMetricSource,MAEMetricSource,AbsoluteMSEImprovement,RecomputedMSEGain_pct,GainConsistencyError
Electricity,TimeMixer,96,0.3593942641579941,0.1568328585310262,0.1562692102331507,0.2478995504474172,0.2478840053460131,Experiment37Selected,Experiment37Selected,0.1530083174084659,0.1527571573806472,0.2451951545758687,0.2454182955163498,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/adaptive_rescue_conditions.csv,0.1641479574918817,0.19524630666611237,0.1568328585310262,0.1562692102331507,0.2478995504474172,0.2478840053460131,Experiment37Selected,Experiment37Selected,0.0005636482978754742,0.3593942641579589,3.519406988061746e-14
Electricity,TimeMixer,192,0.4623746480506918,0.1703962488794926,0.1696083798234445,0.2605183201069985,0.260731170837892,Experiment37Selected,Experiment37Selected,0.1775720232359449,0.1768638691802133,0.2719303440152442,0.2722312358189689,/data/dataset/strong_forecaster/relevance_to_forecasting_meta_analysis/all_48_conditions.csv,0.3987982131569557,0.0635764348937361,0.1703962488794926,0.1696083798234445,0.2605183201069985,0.260731170837892,Experiment37Selected,Experiment37Selected,0.0007878690560480794,0.46237464805065936,3.241851231905457e-14
Electricity,TimeMixer,336,0.854896762195491,0.1862308107587,0.1846387295873135,0.2764935298804709,0.2767959102086647,Experiment37Selected,Experiment37Selected,0.1862180133509995,0.184430890073715,0.275051545501341,0.2751200549077657,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/adaptive_rescue_conditions.csv,0.959694094639481,0.10479733244398992,0.1862308107587,0.1846387295873135,0.2764935298804709,0.2767959102086647,Experiment37Selected,Experiment37Selected,0.0015920811713864835,0.8548967621954615,2.9531932455029164e-14
Electricity,TimeMixer,720,0.2904504251384102,0.2267836151546896,0.2261249211803285,0.310885006557952,0.311662019798137,Experiment37Selected,Experiment37Selected,0.2247312053972047,0.2231839880381769,0.3128077322602691,0.3132855845355471,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/adaptive_rescue_conditions.csv,0.6884746407572296,0.39802421561881945,0.2267836151546896,0.2261249211803285,0.310885006557952,0.311662019798137,Experiment37Selected,Experiment37Selected,0.0006586939743610798,0.29045042513842245,1.226796442210798e-14
Electricity,iTransformer,96,1.4666028521562668,0.1500666534480919,0.1478657716284867,0.2416821870295359,0.2413521770969945,Experiment37Selected,Experiment37Selected,0.1482752020718383,0.1463097019940278,0.2397069622410224,0.239499972213815,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/adaptive_rescue_conditions.csv,1.3255757202463603,0.14102713190990657,0.1500666534480919,0.1478657716284867,0.2416821870295359,0.2413521770969945,Experiment37Selected,Experiment37Selected,0.002200881819605205,1.4666028521562857,1.887379141862766e-14
Electricity,iTransformer,192,0.962485160449841,0.1632234152212496,0.1616524140713656,0.2538381294998024,0.2539375428011695,Experiment37Selected,Experiment37Selected,0.186433094371084,0.183813294613707,0.2752880610179217,0.2760092418653345,/data/dataset/strong_forecaster/relevance_to_forecasting_meta_analysis/all_48_conditions.csv,1.4052224827435653,0.4427373222937243,0.1632234152212496,0.1616524140713656,0.2538381294998024,0.2539375428011695,Experiment37Selected,Experiment37Selected,0.0015710011498840104,0.9624851604498752,3.419486915845482e-14
Electricity,iTransformer,336,1.010947691460949,0.1771945214589089,0.1754031775348248,0.2691265831043549,0.2697051713736265,Experiment37Selected,Experiment37Selected,0.1796874444533689,0.1785029030271761,0.2723843580766436,0.2732368720179618,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/adaptive_rescue_conditions.csv,0.6592232583619329,0.35172443309901613,0.1771945214589089,0.1754031775348248,0.2691265831043549,0.2697051713736265,Experiment37Selected,Experiment37Selected,0.0017913439240841156,1.0109476914609492,2.220446049250313e-16
Electricity,iTransformer,720,0.0899240101128388,0.2167702880849344,0.2165753595491553,0.3035190807747585,0.3048584723499239,Experiment37Selected,Experiment37Selected,0.2170535137456216,0.2152173319789899,0.3042019635943207,0.3053174799997912,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/adaptive_rescue_conditions.csv,0.8459580934421682,0.7560340833293294,0.2167702880849344,0.2165753595491553,0.3035190807747585,0.3048584723499239,Experiment37Selected,Experiment37Selected,0.00019492853577909863,0.08992401011282608,1.2725931419765857e-14
Exchange,PatchTST,96,0.0,0.0887915574492728,0.0887915574492728,0.2088177169481466,0.2088177169481466,Experiment37Selected,Experiment37Selected,0.0887915574492728,0.0887915574492728,0.2088177169481466,0.2088177169481466,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,0.0,0.0,0.0887915574492728,0.0887915574492728,0.2088177169481466,0.2088177169481466,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,PatchTST,192,0.0,0.1949368863923277,0.1949368863923277,0.3161826899688168,0.3161826899688168,Experiment37Selected,Experiment37Selected,0.1949368863923277,0.1949368863923277,0.3161826899688168,0.3161826899688168,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,0.0,0.0,0.1949368863923277,0.1949368863923277,0.3161826899688168,0.3161826899688168,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
