Dataset,Horizon,Pattern,CandidatePrior,Learned,Shuffled,Sig_RetrievalGain,Sig_QuerySpecificGain,RetrievalGain_pct,QuerySpecificGain_pct,PriorGain_pct,DownstreamMeanGain_pct,DownstreamMedianGain_pct,DownstreamWins,DownstreamLosses,DownstreamTies,PatchTST_Gain_pct,iTransformer_Gain_pct,TimeMixer_Gain_pct,SegMoE_Gain_pct
Electricity,336,0.513699,0.440371,0.442422,0.57982,True,True,13.875246009822877,23.69666448208065,14.274507055688254,0.7449401135394241,0.8378917446438319,4,0,0,0.8208867270921726,1.010947691460949,0.854896762195491,0.2930292734090838
Electricity,720,0.58904,0.50018,0.519661,0.667902,True,True,11.778317261985597,22.195022623079428,15.085562949884565,0.013807207785965548,0.1901872176256245,3,1,0,-0.6723071236913386,0.0899240101128388,0.2904504251384102,0.3471615195839518
Traffic,96,0.875554,0.905708,0.863432,1.092021,False,True,1.3844948455492267,20.932656056980584,-3.443990890339134,0.1308255475882572,0.073702174665501,4,0,0,0.0396005749991415,0.3440376151191087,0.1078037743318605,0.0318602259029182
Traffic,192,0.883992,0.914254,0.869169,1.084658,True,True,1.6768251296391856,19.866999551932494,-3.4233341478203436,0.10830484550250671,0.11186664377669454,4,0,0,0.0627400133290118,0.1609932742243773,0.1951055176391097,0.0143805768175281
Traffic,336,0.910878,0.940618,0.894336,1.102242,True,True,1.8160500088925131,18.862101063105918,-3.2649816989761513,-0.013709905853471344,0.02306637793094365,3,1,0,0.0381979725126247,-0.274876714418689,0.1739043351429163,0.0079347833492626
Traffic,720,0.97161,0.998918,0.948603,1.137833,True,True,2.367925402167536,16.630735793389725,-2.8105927275347105,0.10167995100890428,0.02302767517307685,3,1,0,0.0117000498058502,0.3663018768493395,-0.0056374231598761,0.0343553005403035
Exchange,96,0.211965,0.098876,0.201246,0.199855,False,False,5.056966952091138,-0.6960046033374213,53.35267614936428,0.4419889985061861,0.0,1,0,3,0.0,0.0,1.7679559940247445,0.0
Exchange,192,0.424098,0.228619,0.414987,0.423465,False,True,2.148324208083976,2.002054479118696,46.092884191861316,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0
Exchange,336,0.769549,0.469822,0.823094,0.79739,False,False,-6.957971487195741,-3.2235167233097917,38.94839704814119,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0
Exchange,720,1.894643,1.514171,2.06649,1.935582,False,False,-9.070152002250548,-6.763237103878835,20.081461256817253,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0
Solar,96,0.666227,1.016373,0.471276,1.316049,True,True,29.261948254874092,64.19008714721109,-52.5565610520138,4.666325391958304,3.287136977810452,4,0,0,1.6239713984213078,10.467056213791002,2.590790197621305,3.983483757999599
Solar,192,0.64461,0.990156,0.498956,1.434488,True,True,22.595678006856858,65.21713670661589,-53.605435844929495,5.233321886547953,3.7492359126071597,4,0,0,0.5574703750946584,12.877345345882835,4.150786990483721,3.3476848347305985
Solar,336,0.693457,1.072159,0.526908,1.547378,True,True,24.017206546332353,65.9483332450119,-54.61074010356808,9.804537610980637,11.41638796351012,4,0,0,1.889863551048015,13.990738069330709,8.842037857689531,14.495510965854288
Solar,720,0.726212,1.165314,0.56462,1.607708,True,True,22.251353599224462,64.88043848758606,-60.46471278359488,12.265177081823797,8.027167559101207,4,0,0,2.116874838006072,10.861390501766945,5.19294461643547,30.8894983710867

