Dataset,Backbone,Horizon,ProtocolFamily,ExperimentFamily,Direct_MSE,Final_MSE,MSEGain_pct,Direct_MAE,Final_MAE,MAEGain_pct,FinalMeanAlpha,OracleHeadroom_pct,ValidationGain_pct,CI_Low,CI_High,SignificantPositive,SignificantNegative,SourcePath,SourceScore,RecoveredFamilyBonus,FinalSourceScore,SelectedHasCI,CI_Low_recovered,CI_High_recovered,SigPositive_recovered,SigNegative_recovered,BlockLen_recovered,Replicates_recovered,RecoveredSourcePath,RecoveredSourcePriority,Final_CI_Low,Final_CI_High,Final_SignificantPositive,Final_SignificantNegative,SignificanceSource,HasFinalCI,SignClass,ObservedDirection
Electricity,SegMoE,96,full321_oof,electricity_full321_segmoe_oof_reranker,0.1310534728391639,0.130372734604499,0.519435479211152,0.225168733502784,0.2253892782407869,-0.0979464309151834,0.0070656532929121,7.375524702540177,,0.0004529985469213,0.0009459846651782,True,False,/data/dataset/strong_forecaster/electricity_full321_segmoe_oof_reranker/segmoe_all4_horizons_results_with_bootstrap.csv,2800,0,2800,True,,,,,,,,,0.0004529985469213,0.0009459846651782,True,False,Experiment37Selected,True,positive,win
Electricity,SegMoE,192,full321_oof,electricity_full321_segmoe_oof_reranker,0.1487835852561396,0.148368950057832,0.2786834297572532,0.2420533501093928,0.2421817553247262,-0.0530483115707395,0.0056436247322129,5.755194270060069,,0.0002957525040052,0.0005549872147085,True,False,/data/dataset/strong_forecaster/electricity_full321_segmoe_oof_reranker/segmoe_all4_horizons_results_with_bootstrap.csv,2800,0,2800,True,,,,,,,,,0.0002957525040052,0.0005549872147085,True,False,Experiment37Selected,True,positive,win
Electricity,SegMoE,336,full321_oof,electricity_full321_segmoe_oof_reranker,0.166728684018765,0.1662401201674203,0.2930292734090838,0.2612688590206781,0.2614591146115718,-0.0728198498691273,0.0075198878527407,5.661948943440267,,0.0003482458153124,0.0006380187122501,True,False,/data/dataset/strong_forecaster/electricity_full321_segmoe_oof_reranker/segmoe_all4_horizons_results_with_bootstrap.csv,2800,0,2800,True,,,,,,,,,0.0003482458153124,0.0006380187122501,True,False,Experiment37Selected,True,positive,win
Electricity,SegMoE,720,full321_oof,electricity_full321_segmoe_oof_reranker,0.2109205730183504,0.2101883379519447,0.3471615195839518,0.3013443849486819,0.3020732212234451,-0.2418615747186865,0.0150515659270522,6.842926133184235,,0.0001603783721724,0.0013123990763187,True,False,/data/dataset/strong_forecaster/electricity_full321_segmoe_oof_reranker/segmoe_all4_horizons_results_with_bootstrap.csv,2800,0,2800,True,,,,,,,,,0.0001603783721724,0.0013123990763187,True,False,Experiment37Selected,True,positive,win
Electricity,TimeMixer,96,full321_oof,electricity_full321_oof_timemixer_h96_192_336_720,0.1568328585310262,0.1562692102331507,0.3593942641579941,0.2478995504474172,0.2478840053460131,0.0062707259355883,0.0222575941422398,6.724588809002154,,0.0003884102052144,0.000723543018896,True,False,/data/dataset/strong_forecaster/electricity_full321_oof_timemixer_h96_192_336_720/timemixer_all4_horizons_results_with_bootstrap.csv,1600,0,1600,True,0.0016507188438114,0.0024724637600525,True,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0003884102052144,0.000723543018896,True,False,Experiment37Selected,True,positive,win
Electricity,TimeMixer,192,full321_oof,electricity_full321_oof_timemixer_h96_192_336_720,0.1703962488794926,0.1696083798234445,0.4623746480506918,0.2605183201069985,0.260731170837892,-0.081702788044243,0.0256507661551362,5.535213232139262,,0.000609909133972,0.0009757898176523,True,False,/data/dataset/strong_forecaster/electricity_full321_oof_timemixer_h96_192_336_720/timemixer_all4_horizons_results_with_bootstrap.csv,1600,0,1600,True,0.00051803056707,0.0009105966634964,True,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.000609909133972,0.0009757898176523,True,False,Experiment37Selected,True,positive,win
Electricity,TimeMixer,336,full321_oof,electricity_full321_oof_timemixer_h96_192_336_720,0.1862308107587,0.1846387295873135,0.854896762195491,0.2764935298804709,0.2767959102086647,-0.1093625331212853,0.0253646481375518,5.927617105042695,,0.0012050111145915,0.0020578282092352,True,False,/data/dataset/strong_forecaster/electricity_full321_oof_timemixer_h96_192_336_720/timemixer_all4_horizons_results_with_bootstrap.csv,1600,0,1600,True,0.0016916668802726,0.0034847112239012,True,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0012050111145915,0.0020578282092352,True,False,Experiment37Selected,True,positive,win
Electricity,TimeMixer,720,full321_oof,electricity_full321_oof_timemixer_h96_192_336_720,0.2267836151546896,0.2261249211803285,0.2904504251384102,0.310885006557952,0.311662019798137,-0.2499359003471879,0.0263590504474235,7.164770890999951,,-0.0003990954179886,0.0016736296031593,False,False,/data/dataset/strong_forecaster/electricity_full321_oof_timemixer_h96_192_336_720/timemixer_all4_horizons_results_with_bootstrap.csv,1600,0,1600,True,0.0015337400278661,0.0027403794615423,True,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,-0.0003990954179886,0.0016736296031593,False,False,Experiment37Selected,True,nonsignificant,win
Electricity,iTransformer,96,full321_oof,electricity_full321_oof_pilot_itransformer_h96,0.1500666534480919,0.1478657716284867,1.4666028521562668,0.2416821870295359,0.2413521770969945,0.1365470648033597,0.0261133764170292,9.006127294364857,,,,,,/data/dataset/strong_forecaster/electricity_full321_oof_pilot_itransformer_h96/summary.csv,1420,0,1420,False,0.0030567374892554,0.004785589035366,True,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0030567374892554,0.004785589035366,True,False,HistoricalRecovery,True,positive,win
Electricity,iTransformer,192,full321_oof,electricity_full321_oof_itransformer_h192_336_720,0.1632234152212496,0.1616524140713656,0.962485160449841,0.2538381294998024,0.2539375428011695,-0.0391640537073936,0.0313019056413245,6.993820693800899,,,,,,/data/dataset/strong_forecaster/electricity_full321_oof_itransformer_h192_336_720/summary.csv,1420,0,1420,False,0.0018295621359417,0.0034594523475164,True,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0018295621359417,0.0034594523475164,True,False,HistoricalRecovery,True,positive,win
Electricity,iTransformer,336,full321_oof,electricity_full321_oof_itransformer_h192_336_720,0.1771945214589089,0.1754031775348248,1.010947691460949,0.2691265831043549,0.2697051713736265,-0.2149874094924491,0.0325501053931657,7.0086609373483615,,,,,,/data/dataset/strong_forecaster/electricity_full321_oof_itransformer_h192_336_720/summary.csv,1420,0,1420,False,0.0029983265183601,0.004982404504444,True,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0029983265183601,0.004982404504444,True,False,HistoricalRecovery,True,positive,win
Electricity,iTransformer,720,full321_oof,electricity_full321_oof_itransformer_h192_336_720,0.2167702880849344,0.2165753595491553,0.0899240101128388,0.3035190807747585,0.3048584723499239,-0.4412874379253279,0.0376941738889777,7.885399307214101,,,,,,/data/dataset/strong_forecaster/electricity_full321_oof_itransformer_h192_336_720/summary.csv,1420,0,1420,False,0.0057714894200652,0.0088483037427477,True,False,24.0,5000.0,/data/dataset/strong_forecaster/electricity_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0057714894200652,0.0088483037427477,True,False,HistoricalRecovery,True,positive,win
Exchange,PatchTST,96,exchange_three_backbone_frozen_historical_memory,exchange_three_backbone_frozen_historical_memory,0.0887915574492728,0.0887915574492728,0.0,0.2088177169481466,0.2088177169481466,0.0,,,,,,,,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,1415,0,1415,False,0.0,0.0,False,False,24.0,5000.0,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0,0.0,False,False,HistoricalRecovery,True,nonsignificant,tie
Exchange,PatchTST,192,exchange_three_backbone_frozen_historical_memory,exchange_three_backbone_frozen_historical_memory,0.1949368863923277,0.1949368863923277,0.0,0.3161826899688168,0.3161826899688168,0.0,,,,,,,,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,1415,0,1415,False,0.0,0.0,False,False,24.0,5000.0,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0,0.0,False,False,HistoricalRecovery,True,nonsignificant,tie
Exchange,PatchTST,336,exchange_three_backbone_frozen_historical_memory,exchange_three_backbone_frozen_historical_memory,0.3462905648655438,0.3462905648655438,0.0,0.4288734468001035,0.4288734468001035,0.0,,,,,,,,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,1415,0,1415,False,0.0,0.0,False,False,24.0,5000.0,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0,0.0,False,False,HistoricalRecovery,True,nonsignificant,tie
Exchange,PatchTST,720,exchange_three_backbone_frozen_historical_memory,exchange_three_backbone_frozen_historical_memory,0.8583899663438109,0.8583899663438109,0.0,0.6929867376095403,0.6929867376095403,0.0,,,,,,,,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,1415,0,1415,False,0.0,0.0,False,False,24.0,5000.0,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/bootstrap.csv,0.0,0.0,0.0,False,False,HistoricalRecovery,True,nonsignificant,tie
Exchange,SegMoE,96,segmoe_dataset_specific,exchange_full8_segmoe_oof_reranker,0.0870032819827006,0.0870032819827006,0.0,0.2075456483885174,0.2075456483885174,0.0,0.0,23.726277903474163,,0.0,0.0,False,False,/data/dataset/strong_forecaster/exchange_full8_segmoe_oof_reranker/segmoe_all4_horizons_results_with_bootstrap.csv,1600,0,1600,True,,,,,,,,,0.0,0.0,False,False,Experiment37Selected,True,nonsignificant,tie
Exchange,SegMoE,192,segmoe_dataset_specific,exchange_full8_segmoe_oof_reranker,0.1831860621350999,0.1831860621350999,0.0,0.3071525825743877,0.3071525825743877,0.0,0.0,26.363985186633407,,0.0,0.0,False,False,/data/dataset/strong_forecaster/exchange_full8_segmoe_oof_reranker/segmoe_all4_horizons_results_with_bootstrap.csv,1600,0,1600,True,,,,,,,,,0.0,0.0,False,False,Experiment37Selected,True,nonsignificant,tie
